Municipio		Superficie		Autonomía		CP		Provincia		CPJ		Partido_Judicial
Castropol		125,77		Asturias (Principado de)		33		Asturias		3307		Castropol
Coaña		65,80		Asturias (Principado de)		33		Asturias		3315		Valdés
Colunga		97,57		Asturias (Principado de)		33		Asturias		3317		Villaviciosa
Corvera de Asturias		46,01		Asturias (Principado de)		33		Asturias		3304		Avilés
Cudillero		100,78		Asturias (Principado de)		33		Asturias		3316		Pravia
Degaña		87,16		Asturias (Principado de)		33		Asturias		3301		Cangas del Narcea
Franco, El		78,03		Asturias (Principado de)		33		Asturias		3307		Castropol
Gijón		181,71		Asturias (Principado de)		33		Asturias		3308		Gijón
Gozón		81,73		Asturias (Principado de)		33		Asturias		3304		Avilés
Grado		216,68		Asturias (Principado de)		33		Asturias		3305		Grado
Grandas de Salime		111,62		Asturias (Principado de)		33		Asturias		3307		Castropol
Ibias		333,29		Asturias (Principado de)		33		Asturias		3301		Cangas del Narcea
Illano		102,70		Asturias (Principado de)		33		Asturias		3315		Valdés
Illas		25,51		Asturias (Principado de)		33		Asturias		3304		Avilés
Langreo		82,46		Asturias (Principado de)		33		Asturias		3313		Langreo
Laviana		130,99		Asturias (Principado de)		33		Asturias		3309		Laviana
Lena		315,51		Asturias (Principado de)		33		Asturias		3302		Lena
Valdés		353,52		Asturias (Principado de)		33		Asturias		3315		Valdés
Llanera		106,69		Asturias (Principado de)		33		Asturias		3310		Oviedo
Llanes		263,59		Asturias (Principado de)		33		Asturias		3311		Llanes
Mieres		146,03		Asturias (Principado de)		33		Asturias		3312		Mieres
Morcín		50,05		Asturias (Principado de)		33		Asturias		3312		Mieres
Muros de Nalón		8,09		Asturias (Principado de)		33		Asturias		3316		Pravia
Nava		95,81		Asturias (Principado de)		33		Asturias		3318		Piloña
Navia		63,11		Asturias (Principado de)		33		Asturias		3315		Valdés
Noreña		5,66		Asturias (Principado de)		33		Asturias		3306		Siero
Onís		75,42		Asturias (Principado de)		33		Asturias		3303		Cangas de Onís
Oviedo		186,65		Asturias (Principado de)		33		Asturias		3310		Oviedo
Parres		126,08		Asturias (Principado de)		33		Asturias		3303		Cangas de Onís
Peñamellera Alta		92,19		Asturias (Principado de)		33		Asturias		3311		Llanes
Peñamellera Baja		83,85		Asturias (Principado de)		33		Asturias		3311		Llanes
Pesoz		38,97		Asturias (Principado de)		33		Asturias		3307		Castropol
Piloña		283,89		Asturias (Principado de)		33		Asturias		3318		Piloña
Ponga		205,98		Asturias (Principado de)		33		Asturias		3303		Cangas de Onís
Pravia		102,96		Asturias (Principado de)		33		Asturias		3316		Pravia
Proaza		76,79		Asturias (Principado de)		33		Asturias		3305		Grado
Quirós		208,79		Asturias (Principado de)		33		Asturias		3302		Lena
Regueras, Las		65,85		Asturias (Principado de)		33		Asturias		3310		Oviedo
Ribadedeva		35,66		Asturias (Principado de)		33		Asturias		3311		Llanes
Ribadesella		84,37		Asturias (Principado de)		33		Asturias		3303		Cangas de Onís
Ribera de Arriba		21,98		Asturias (Principado de)		33		Asturias		3310		Oviedo
Riosa		46,49		Asturias (Principado de)		33		Asturias		3312		Mieres
Salas		227,11		Asturias (Principado de)		33		Asturias		3305		Grado
San Martín del Rey Aurelio		56,12		Asturias (Principado de)		33		Asturias		3309		Laviana
San Martín de Oscos		67,49		Asturias (Principado de)		33		Asturias		3307		Castropol
Santa Eulalia de Oscos		47,12		Asturias (Principado de)		33		Asturias		3307		Castropol
San Tirso de Abres		31,41		Asturias (Principado de)		33		Asturias		3307		Castropol
Santo Adriano		22,60		Asturias (Principado de)		33		Asturias		3310		Oviedo
Sariego		25,72		Asturias (Principado de)		33		Asturias		3306		Siero
Siero		211,23		Asturias (Principado de)		33		Asturias		3306		Siero
Sobrescobio		69,42		Asturias (Principado de)		33		Asturias		3309		Laviana
Somiedo		290,10		Asturias (Principado de)		33		Asturias		3305		Grado
Soto del Barco		35,34		Asturias (Principado de)		33		Asturias		3316		Pravia
Tapia de Casariego		65,99		Asturias (Principado de)		33		Asturias		3307		Castropol
Taramundi		82,16		Asturias (Principado de)		33		Asturias		3307		Castropol
Teverga		173,81		Asturias (Principado de)		33		Asturias		3305		Grado
Tineo		540,83		Asturias (Principado de)		33		Asturias		3314		Tineo
Vegadeo		82,76		Asturias (Principado de)		33		Asturias		3307		Castropol
Villanueva de Oscos		72,98		Asturias (Principado de)		33		Asturias		3307		Castropol
Villaviciosa		276,23		Asturias (Principado de)		33		Asturias		3317		Villaviciosa
Villayón		132,46		Asturias (Principado de)		33		Asturias		3315		Valdés
Yernes y Tameza		31,63		Asturias (Principado de)		33		Asturias		3305		Grado
Abarca de Campos		11,39		Castilla y León		34		Palencia		3401		Palencia
Abia de las Torres		27,16		Castilla y León		34		Palencia		3402		Carrión de los Condes
Aguilar de Campoo		236,56		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Alar del Rey		57,91		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Alba de Cerrato		35,21		Castilla y León		34		Palencia		3401		Palencia
Amayuelas de Arriba		10,17		Castilla y León		34		Palencia		3401		Palencia
Ampudia		137,17		Castilla y León		34		Palencia		3401		Palencia
Amusco		78,86		Castilla y León		34		Palencia		3401		Palencia
Antigüedad		62,83		Castilla y León		34		Palencia		3401		Palencia
Arconada		19,43		Castilla y León		34		Palencia		3402		Carrión de los Condes
Astudillo		122,95		Castilla y León		34		Palencia		3401		Palencia
Autilla del Pino		34,58		Castilla y León		34		Palencia		3401		Palencia
Autillo de Campos		30,53		Castilla y León		34		Palencia		3401		Palencia
Ayuela		19,75		Castilla y León		34		Palencia		3402		Carrión de los Condes
Baltanás		158,85		Castilla y León		34		Palencia		3401		Palencia
Venta de Baños		14,25		Castilla y León		34		Palencia		3401		Palencia
Baquerín de Campos		22,11		Castilla y León		34		Palencia		3401		Palencia
Bárcena de Campos		14,54		Castilla y León		34		Palencia		3402		Carrión de los Condes
Barruelo de Santullán		53,30		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Báscones de Ojeda		18,56		Castilla y León		34		Palencia		3402		Carrión de los Condes
Becerril de Campos		78,96		Castilla y León		34		Palencia		3401		Palencia
Belmonte de Campos		16,14		Castilla y León		34		Palencia		3401		Palencia
Berzosilla		19,61		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Boada de Campos		14,53		Castilla y León		34		Palencia		3401		Palencia
Boadilla del Camino		28,66		Castilla y León		34		Palencia		3401		Palencia
Boadilla de Rioseco		51,27		Castilla y León		34		Palencia		3401		Palencia
Brañosera		61,92		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Buenavista de Valdavia		81,64		Castilla y León		34		Palencia		3402		Carrión de los Condes
Bustillo de la Vega		18,99		Castilla y León		34		Palencia		3402		Carrión de los Condes
Bustillo del Páramo de Carrión		31,20		Castilla y León		34		Palencia		3402		Carrión de los Condes
Calahorra de Boedo		17,99		Castilla y León		34		Palencia		3402		Carrión de los Condes
Calzada de los Molinos		25,94		Castilla y León		34		Palencia		3402		Carrión de los Condes
Capillas		18,27		Castilla y León		34		Palencia		3401		Palencia
Cardeñosa de Volpejera		13,70		Castilla y León		34		Palencia		3401		Palencia
Carrión de los Condes		63,37		Castilla y León		34		Palencia		3402		Carrión de los Condes
Castil de Vela		23,86		Castilla y León		34		Palencia		3401		Palencia
Castrejón de la Peña		106,40		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Castrillo de Don Juan		48,94		Castilla y León		34		Palencia		3401		Palencia
Castrillo de Onielo		40,27		Castilla y León		34		Palencia		3401		Palencia
Castrillo de Villavega		33,94		Castilla y León		34		Palencia		3402		Carrión de los Condes
Castromocho		50,00		Castilla y León		34		Palencia		3401		Palencia
Cervatos de la Cueza		71,46		Castilla y León		34		Palencia		3402		Carrión de los Condes
Cervera de Pisuerga		326,26		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Cevico de la Torre		50,85		Castilla y León		34		Palencia		3401		Palencia
Cevico Navero		44,05		Castilla y León		34		Palencia		3401		Palencia
Cisneros		63,29		Castilla y León		34		Palencia		3401		Palencia
Cobos de Cerrato		46,51		Castilla y León		34		Palencia		3401		Palencia
Collazos de Boedo		21,00		Castilla y León		34		Palencia		3402		Carrión de los Condes
Congosto de Valdavia		68,93		Castilla y León		34		Palencia		3402		Carrión de los Condes
Cordovilla la Real		38,81		Castilla y León		34		Palencia		3401		Palencia
Cubillas de Cerrato		21,10		Castilla y León		34		Palencia		3401		Palencia
Dehesa de Montejo		43,78		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Dehesa de Romanos		20,95		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Dueñas		124,35		Castilla y León		34		Palencia		3401		Palencia
Espinosa de Cerrato		45,28		Castilla y León		34		Palencia		3401		Palencia
Espinosa de Villagonzalo		38,04		Castilla y León		34		Palencia		3402		Carrión de los Condes
Frechilla		34,33		Castilla y León		34		Palencia		3401		Palencia
Fresno del Río		44,02		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Frómista		46,59		Castilla y León		34		Palencia		3401		Palencia
Fuentes de Nava		60,51		Castilla y León		34		Palencia		3401		Palencia
Fuentes de Valdepero		42,93		Castilla y León		34		Palencia		3401		Palencia
Grijota		28,58		Castilla y León		34		Palencia		3401		Palencia
Guardo		62,83		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Guaza de Campos		32,34		Castilla y León		34		Palencia		3401		Palencia
Hérmedes de Cerrato		32,33		Castilla y León		34		Palencia		3401		Palencia
Herrera de Pisuerga		99,08		Castilla y León		34		Palencia		3402		Carrión de los Condes
Herrera de Valdecañas		27,56		Castilla y León		34		Palencia		3401		Palencia
Hontoria de Cerrato		29,53		Castilla y León		34		Palencia		3401		Palencia
Hornillos de Cerrato		35,36		Castilla y León		34		Palencia		3401		Palencia
Husillos		16,35		Castilla y León		34		Palencia		3401		Palencia
Itero de la Vega		20,93		Castilla y León		34		Palencia		3401		Palencia
Lagartos		43,53		Castilla y León		34		Palencia		3402		Carrión de los Condes
Lantadilla		28,95		Castilla y León		34		Palencia		3401		Palencia
Vid de Ojeda, La		20,08		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Ledigos		28,30		Castilla y León		34		Palencia		3402		Carrión de los Condes
Lomas		17,07		Castilla y León		34		Palencia		3402		Carrión de los Condes
Magaz de Pisuerga		27,84		Castilla y León		34		Palencia		3401		Palencia
Manquillos		12,60		Castilla y León		34		Palencia		3401		Palencia
Mantinos		25,53		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Marcilla de Campos		21,86		Castilla y León		34		Palencia		3401		Palencia
Mazariegos		25,24		Castilla y León		34		Palencia		3401		Palencia
Mazuecos de Valdeginate		18,56		Castilla y León		34		Palencia		3401		Palencia
Melgar de Yuso		26,58		Castilla y León		34		Palencia		3401		Palencia
Meneses de Campos		28,21		Castilla y León		34		Palencia		3401		Palencia
Micieces de Ojeda		20,73		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Monzón de Campos		45,91		Castilla y León		34		Palencia		3401		Palencia
Moratinos		29,40		Castilla y León		34		Palencia		3402		Carrión de los Condes
Mudá		6,81		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Nogal de las Huertas		13,80		Castilla y León		34		Palencia		3402		Carrión de los Condes
Olea de Boedo		8,14		Castilla y León		34		Palencia		3402		Carrión de los Condes
Olmos de Ojeda		103,60		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Osornillo		18,18		Castilla y León		34		Palencia		3402		Carrión de los Condes
Palencia		94,95		Castilla y León		34		Palencia		3401		Palencia
Palenzuela		77,20		Castilla y León		34		Palencia		3401		Palencia
Páramo de Boedo		22,76		Castilla y León		34		Palencia		3402		Carrión de los Condes
Paredes de Nava		128,98		Castilla y León		34		Palencia		3401		Palencia
Payo de Ojeda		19,28		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Pedraza de Campos		32,38		Castilla y León		34		Palencia		3401		Palencia
Pedrosa de la Vega		21,06		Castilla y León		34		Palencia		3402		Carrión de los Condes
Perales		27,46		Castilla y León		34		Palencia		3401		Palencia
Pino del Río		51,99		Castilla y León		34		Palencia		3402		Carrión de los Condes
Piña de Campos		12,39		Castilla y León		34		Palencia		3401		Palencia
Población de Arroyo		22,87		Castilla y León		34		Palencia		3402		Carrión de los Condes
Población de Campos		23,26		Castilla y León		34		Palencia		3401		Palencia
Población de Cerrato		19,80		Castilla y León		34		Palencia		3401		Palencia
Polentinos		14,87		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Pomar de Valdivia		80,14		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Poza de la Vega		24,29		Castilla y León		34		Palencia		3402		Carrión de los Condes
Pozo de Urama		13,81		Castilla y León		34		Palencia		3401		Palencia
Prádanos de Ojeda		21,32		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Puebla de Valdavia, La		29,50		Castilla y León		34		Palencia		3402		Carrión de los Condes
Quintana del Puente		11,67		Castilla y León		34		Palencia		3401		Palencia
Quintanilla de Onsoña		51,06		Castilla y León		34		Palencia		3402		Carrión de los Condes
Reinoso de Cerrato		23,13		Castilla y León		34		Palencia		3401		Palencia
Renedo de la Vega		22,25		Castilla y León		34		Palencia		3402		Carrión de los Condes
Requena de Campos		13,42		Castilla y León		34		Palencia		3401		Palencia
Respenda de la Peña		65,65		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Revenga de Campos		22,41		Castilla y León		34		Palencia		3402		Carrión de los Condes
Revilla de Collazos		20,56		Castilla y León		34		Palencia		3402		Carrión de los Condes
Ribas de Campos		15,49		Castilla y León		34		Palencia		3401		Palencia
Riberos de la Cueza		19,79		Castilla y León		34		Palencia		3402		Carrión de los Condes
Saldaña		131,95		Castilla y León		34		Palencia		3402		Carrión de los Condes
Salinas de Pisuerga		21,20		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
San Cebrián de Campos		32,50		Castilla y León		34		Palencia		3401		Palencia
San Cebrián de Mudá		41,01		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
San Cristóbal de Boedo		10,78		Castilla y León		34		Palencia		3402		Carrión de los Condes
San Mamés de Campos		15,54		Castilla y León		34		Palencia		3402		Carrión de los Condes
San Román de la Cuba		18,23		Castilla y León		34		Palencia		3401		Palencia
Santa Cecilia del Alcor		19,94		Castilla y León		34		Palencia		3401		Palencia
Santa Cruz de Boedo		25,51		Castilla y León		34		Palencia		3402		Carrión de los Condes
Santervás de la Vega		70,68		Castilla y León		34		Palencia		3402		Carrión de los Condes
Santibáñez de Ecla		25,53		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Santibáñez de la Peña		111,74		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Santoyo		34,69		Castilla y León		34		Palencia		3401		Palencia
Serna, La		12,30		Castilla y León		34		Palencia		3402		Carrión de los Condes
Sotobañado y Priorato		25,26		Castilla y León		34		Palencia		3402		Carrión de los Condes
Soto de Cerrato		12,94		Castilla y León		34		Palencia		3401		Palencia
Tabanera de Cerrato		46,34		Castilla y León		34		Palencia		3401		Palencia
Tabanera de Valdavia		21,53		Castilla y León		34		Palencia		3402		Carrión de los Condes
Támara de Campos		20,75		Castilla y León		34		Palencia		3401		Palencia
Tariego de Cerrato		20,68		Castilla y León		34		Palencia		3401		Palencia
Torquemada		83,63		Castilla y León		34		Palencia		3401		Palencia
Torremormojón		28,24		Castilla y León		34		Palencia		3401		Palencia
Triollo		63,29		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Valbuena de Pisuerga		29,02		Castilla y León		34		Palencia		3401		Palencia
Valdeolmillos		20,59		Castilla y León		34		Palencia		3401		Palencia
Valderrábano		28,81		Castilla y León		34		Palencia		3402		Carrión de los Condes
Valde-Ucieza		42,59		Castilla y León		34		Palencia		3402		Carrión de los Condes
Valle de Cerrato		38,96		Castilla y León		34		Palencia		3401		Palencia
Velilla del Río Carrión		198,94		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Vertavillo		57,36		Castilla y León		34		Palencia		3401		Palencia
Villabasta de Valdavia		11,19		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villacidaler		21,78		Castilla y León		34		Palencia		3401		Palencia
Villaconancio		34,06		Castilla y León		34		Palencia		3401		Palencia
Villada		64,87		Castilla y León		34		Palencia		3401		Palencia
Villaeles de Valdavia		20,67		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villahán		31,02		Castilla y León		34		Palencia		3401		Palencia
Villaherreros		40,79		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villalaco		17,85		Castilla y León		34		Palencia		3401		Palencia
Villalba de Guardo		33,85		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Villalcázar de Sirga		25,41		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villalcón		26,32		Castilla y León		34		Palencia		3401		Palencia
Villalobón		19,00		Castilla y León		34		Palencia		3401		Palencia
Villaluenga de la Vega		26,31		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villamartín de Campos		35,82		Castilla y León		34		Palencia		3401		Palencia
Villamediana		58,13		Castilla y León		34		Palencia		3401		Palencia
Villameriel		53,16		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villamoronta		13,29		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villamuera de la Cueza		25,18		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villamuriel de Cerrato		40,02		Castilla y León		34		Palencia		3401		Palencia
Villanueva del Rebollar		16,56		Castilla y León		34		Palencia		3401		Palencia
Villanuño de Valdavia		31,04		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villaprovedo		26,42		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villarmentero de Campos		7,68		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villarrabé		80,29		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villarramiel		30,26		Castilla y León		34		Palencia		3401		Palencia
Villasarracino		20,50		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villasila de Valdavia		30,33		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villaturde		26,15		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villaumbrales		42,06		Castilla y León		34		Palencia		3401		Palencia
Villaviudas		37,23		Castilla y León		34		Palencia		3401		Palencia
Villerías de Campos		22,05		Castilla y León		34		Palencia		3401		Palencia
Villodre		8,70		Castilla y León		34		Palencia		3401		Palencia
Villodrigo		9,03		Castilla y León		34		Palencia		3401		Palencia
Villoldo		40,60		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villota del Páramo		77,96		Castilla y León		34		Palencia		3402		Carrión de los Condes
Villovieco		23,53		Castilla y León		34		Palencia		3402		Carrión de los Condes
Osorno la Mayor		89,16		Castilla y León		34		Palencia		3402		Carrión de los Condes
Valle del Retortillo		62,75		Castilla y León		34		Palencia		3401		Palencia
Loma de Ucieza		71,23		Castilla y León		34		Palencia		3402		Carrión de los Condes
Pernía, La		165,67		Castilla y León		34		Palencia		3403		Cervera de Pisuerga
Agaete		45,50		Canarias		35		Palmas (Las)		3504		Santa María de Guía de Gran Canaria
Agüimes		79,28		Canarias		35		Palmas (Las)		3508		Santa Lucía de Tirajana
Antigua		250,57		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
Arrecife		22,72		Canarias		35		Palmas (Las)		3501		Arrecife
Artenara		66,70		Canarias		35		Palmas (Las)		3507		Arucas
Arucas		33,01		Canarias		35		Palmas (Las)		3507		Arucas
Betancuria		103,64		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
Firgas		15,77		Canarias		35		Palmas (Las)		3507		Arucas
Gáldar		61,58		Canarias		35		Palmas (Las)		3504		Santa María de Guía de Gran Canaria
Haría		106,59		Canarias		35		Palmas (Las)		3501		Arrecife
Ingenio		38,15		Canarias		35		Palmas (Las)		3505		Telde
Mogán		172,44		Canarias		35		Palmas (Las)		3506		San Bartolomé de Tirajana
Moya		31,87		Canarias		35		Palmas (Las)		3504		Santa María de Guía de Gran Canaria
Oliva, La		356,13		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
Pájara		383,52		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
Palmas de Gran Canaria, Las		100,55		Canarias		35		Palmas (Las)		3502		Palmas de Gran Canaria, Las
Puerto del Rosario		289,95		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
San Bartolomé		40,90		Canarias		35		Palmas (Las)		3501		Arrecife
San Bartolomé de Tirajana		333,13		Canarias		35		Palmas (Las)		3506		San Bartolomé de Tirajana
Aldea de San Nicolás, La		123,58		Canarias		35		Palmas (Las)		3504		Santa María de Guía de Gran Canaria
Santa Brígida		23,81		Canarias		35		Palmas (Las)		3502		Palmas de Gran Canaria, Las
Santa Lucía de Tirajana		61,56		Canarias		35		Palmas (Las)		3508		Santa Lucía de Tirajana
Santa María de Guía de Gran Canaria		42,59		Canarias		35		Palmas (Las)		3504		Santa María de Guía de Gran Canaria
Teguise		263,98		Canarias		35		Palmas (Las)		3501		Arrecife
Tejeda		103,30		Canarias		35		Palmas (Las)		3507		Arucas
Telde		102,43		Canarias		35		Palmas (Las)		3505		Telde
Teror		25,70		Canarias		35		Palmas (Las)		3507		Arucas
Tías		64,61		Canarias		35		Palmas (Las)		3501		Arrecife
Tinajo		135,29		Canarias		35		Palmas (Las)		3501		Arrecife
Tuineje		275,92		Canarias		35		Palmas (Las)		3503		Puerto del Rosario
Valsequillo de Gran Canaria		39,15		Canarias		35		Palmas (Las)		3505		Telde
Valleseco		22,11		Canarias		35		Palmas (Las)		3507		Arucas
Vega de San Mateo		37,89		Canarias		35		Palmas (Las)		3502		Palmas de Gran Canaria, Las
Yaiza		211,84		Canarias		35		Palmas (Las)		3501		Arrecife
Arbo		42,93		Galicia		36		Pontevedra		3601		Ponteareas
Barro		37,64		Galicia		36		Pontevedra		3612		Caldas de Reis
Baiona		34,47		Galicia		36		Pontevedra		3603		Vigo
Bueu		30,84		Galicia		36		Pontevedra		3613		Marín
Caldas de Reis		68,25		Galicia		36		Pontevedra		3612		Caldas de Reis
Cambados		23,44		Galicia		36		Pontevedra		3609		Cambados
Campo Lameiro		63,77		Galicia		36		Pontevedra		3612		Caldas de Reis
Cangas		38,08		Galicia		36		Pontevedra		3607		Cangas
Cañiza, A		105,02		Galicia		36		Pontevedra		3601		Ponteareas
Catoira		29,44		Galicia		36		Pontevedra		3602		Vilagarcía de Arousa
Cerdedo		79,84		Galicia		36		Pontevedra		3605		Estrada, A
Cotobade		134,68		Galicia		36		Pontevedra		3604		Pontevedra
Covelo		127,88		Galicia		36		Pontevedra		3601		Ponteareas
Crecente		57,46		Galicia		36		Pontevedra		3601		Ponteareas
Cuntis		79,88		Galicia		36		Pontevedra		3612		Caldas de Reis
Dozón		74,23		Galicia		36		Pontevedra		3608		Lalín
Estrada, A		280,72		Galicia		36		Pontevedra		3605		Estrada, A
Forcarei		168,39		Galicia		36		Pontevedra		3605		Estrada, A
Fornelos de Montes		83,10		Galicia		36		Pontevedra		3610		Redondela
Agolada		147,85		Galicia		36		Pontevedra		3608		Lalín
Gondomar		74,51		Galicia		36		Pontevedra		3603		Vigo
Grove, O		21,89		Galicia		36		Pontevedra		3609		Cambados
Guarda, A		20,50		Galicia		36		Pontevedra		3606		Tui
Lalín		326,83		Galicia		36		Pontevedra		3608		Lalín
Lama, A		111,76		Galicia		36		Pontevedra		3604		Pontevedra
Marín		36,68		Galicia		36		Pontevedra		3613		Marín
Meaño		27,77		Galicia		36		Pontevedra		3609		Cambados
Meis		52,39		Galicia		36		Pontevedra		3609		Cambados
Moaña		35,06		Galicia		36		Pontevedra		3607		Cangas
Mondariz		85,12		Galicia		36		Pontevedra		3601		Ponteareas
Mondariz-Balneario		2,31		Galicia		36		Pontevedra		3601		Ponteareas
Moraña		41,25		Galicia		36		Pontevedra		3612		Caldas de Reis
Mos		53,21		Galicia		36		Pontevedra		3611		Porriño, O
Neves, As		65,50		Galicia		36		Pontevedra		3601		Ponteareas
Nigrán		34,77		Galicia		36		Pontevedra		3603		Vigo
Oia		83,30		Galicia		36		Pontevedra		3606		Tui
Pazos de Borbén		49,99		Galicia		36		Pontevedra		3610		Redondela
Pontevedra		118,28		Galicia		36		Pontevedra		3604		Pontevedra
Porriño, O		61,22		Galicia		36		Pontevedra		3611		Porriño, O
Portas		22,62		Galicia		36		Pontevedra		3612		Caldas de Reis
Poio		33,93		Galicia		36		Pontevedra		3604		Pontevedra
Ponteareas		125,56		Galicia		36		Pontevedra		3601		Ponteareas
Ponte Caldelas		87,00		Galicia		36		Pontevedra		3604		Pontevedra
Pontecesures		6,69		Galicia		36		Pontevedra		3612		Caldas de Reis
Redondela		52,08		Galicia		36		Pontevedra		3610		Redondela
Ribadumia		19,71		Galicia		36		Pontevedra		3609		Cambados
Rodeiro		154,90		Galicia		36		Pontevedra		3608		Lalín
Rosal, O		44,13		Galicia		36		Pontevedra		3606		Tui
Salceda de Caselas		35,92		Galicia		36		Pontevedra		3611		Porriño, O
Salvaterra de Miño		62,54		Galicia		36		Pontevedra		3601		Ponteareas
Sanxenxo		45,08		Galicia		36		Pontevedra		3609		Cambados
Silleda		167,96		Galicia		36		Pontevedra		3608		Lalín
Soutomaior		24,99		Galicia		36		Pontevedra		3610		Redondela
Tomiño		106,61		Galicia		36		Pontevedra		3606		Tui
Tui		68,32		Galicia		36		Pontevedra		3606		Tui
Valga		40,64		Galicia		36		Pontevedra		3612		Caldas de Reis
Vigo		109,06		Galicia		36		Pontevedra		3603		Vigo
Vilaboa		36,89		Galicia		36		Pontevedra		3607		Cangas
Vila de Cruces		154,96		Galicia		36		Pontevedra		3608		Lalín
Vilagarcía de Arousa		44,24		Galicia		36		Pontevedra		3602		Vilagarcía de Arousa
Vilanova de Arousa		33,65		Galicia		36		Pontevedra		3602		Vilagarcía de Arousa
Illa de Arousa, A		6,91		Galicia		36		Pontevedra		3602		Vilagarcía de Arousa
Abusejo		23,10		Castilla y León		37		Salamanca		3701		Salamanca
Agallas		44,61		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Ahigal de los Aceiteros		27,93		Castilla y León		37		Salamanca		3703		Vitigudino
Ahigal de Villarino		24,11		Castilla y León		37		Salamanca		3703		Vitigudino
Alameda de Gardón, La		32,27		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Alamedilla, La		19,34		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Alaraz		49,17		Castilla y León		37		Salamanca		3705		Peñaranda de Bracamonte
Alba de Tormes		46,51		Castilla y León		37		Salamanca		3701		Salamanca
Alba de Yeltes		22,36		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Alberca, La		60,73		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Alberguería de Argañán, La		30,06		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Alconada		21,26		Castilla y León		37		Salamanca		3705		Peñaranda de Bracamonte
Aldeacipreste		37,17		Castilla y León		37		Salamanca		3704		Béjar
Aldeadávila de la Ribera		46,18		Castilla y León		37		Salamanca		3703		Vitigudino
Aldea del Obispo		41,92		Castilla y León		37		Salamanca		3702		Ciudad Rodrigo
Aldealengua		5,48		Castilla y León		37		Salamanca		3701		Salamanca
Aldeanueva de Figueroa		55,64		Castilla y León		37		Salamanca		3701		Salamanca
Aldeanueva de la Sierra		14,51		Castilla y León		37		Salamanca		3701		Salamanca
Aldearrodrigo		8,41		Castilla y León		37		Salamanca		3701		Salamanca
Aldearrubia		32,84		Castilla y León		37		Salamanca		3701		Salamanca
Aldeaseca de Alba		17,58		Castilla y León		37		Salamanca		3701		Salamanca
Aldeaseca de la Frontera		24,30		Castilla y León		37		Salamanca		3705		Peñaranda de Bracamonte
Aldeatejada		31,51		Castilla y León		37		Salamanca		3701		Salamanca
